Type,Time(ms),Size(bytes),Attributes,ArraySize
REST,263.643,285,5,5
REST,137.773,1287,10,10
REST,137.162,2849,15,15
REST,139.689,5206,20,20
REST,147.647,8141,25,25
REST,284.355,11911,30,30
REST,269.264,16037,35,35
REST,301.148,21267,40,40
REST,282.581,26926,45,45
REST,271.969,33539,50,50
REST,305.444,40180,55,55
REST,412.341,48259,60,60
REST,404.519,57096,65,65
REST,409.156,66050,70,70
REST,403.738,75820,75,75
REST,401.162,86300,80,80
REST,416.157,97508,85,85
REST,412.054,110444,90,90
REST,413.189,122648,95,95
REST,459.249,136519,100,100
REST,419.461,150746,105,105
REST,532.016,165745,110,110
REST,575.725,181846,115,115
REST,591.611,198280,120,120
REST,664.679,215182,125,125
REST,564.877,233952,130,130
REST,689.57,251852,135,135
REST,741.663,271975,140,140
REST,715.653,292108,145,145
REST,736.217,313804,150,150
REST,823.808,334651,155,155
REST,747.234,358274,160,160
REST,771.566,380869,165,165
REST,904.966,405037,170,170
REST,893.069,429963,175,175
REST,707.597,455950,180,180
REST,704.776,481036,185,185
REST,732.923,508163,190,190
REST,712.159,536274,195,195
REST,952.514,564790,200,200
REST,980.254,593712,205,205
REST,806.36,623529,210,210
REST,1083.647,653426,215,215
REST,879.531,685293,220,220
REST,1130.533,716734,225,225
REST,1019.762,750652,230,230
REST,1129.973,784893,235,235
REST,1155.611,819846,240,240
REST,1290.442,853572,245,245
REST,1274.842,889281,250,250
gRPC,143.557,379,5,5
gRPC,146.449,1613,10,10
gRPC,143.685,3578,15,15
gRPC,145.701,6330,20,20
gRPC,146.741,10093,25,25
gRPC,277.181,14551,30,30
gRPC,281.219,19946,35,35
gRPC,283.996,26055,40,40
gRPC,282.804,33037,45,45
gRPC,346.398,40981,50,50
gRPC,299.068,49427,55,55
gRPC,430.94,59016,60,60
gRPC,425.221,69260,65,65
gRPC,436.277,80963,70,70
gRPC,549.258,92466,75,75
gRPC,557.311,106183,80,80
gRPC,563.004,119837,85,85
gRPC,577.307,134414,90,90
gRPC,726.648,149621,95,95
gRPC,705.719,166403,100,100
gRPC,625.17,184514,105,105
gRPC,608.86,202192,110,110
gRPC,585.869,221278,115,115
gRPC,696.64,241313,120,120
gRPC,592.511,262741,125,125
gRPC,623.784,284027,130,130
gRPC,651.316,306727,135,135
gRPC,642.326,331456,140,140
gRPC,515.378,355387,145,145
gRPC,670.791,381211,150,150
gRPC,635.01,406725,155,155
gRPC,647.484,434716,160,160
gRPC,645.201,462686,165,165
gRPC,789.775,492289,170,170
gRPC,916.24,521470,175,175
gRPC,743.908,553082,180,180
gRPC,688.317,585505,185,185
gRPC,696.696,616563,190,190
gRPC,700.761,649491,195,195
gRPC,1117.04,684686,200,200
gRPC,738.218,720246,205,205
gRPC,769.195,755729,210,210
gRPC,802.5,793254,215,215
gRPC,698.579,830368,220,220
gRPC,709.668,868294,225,225
gRPC,731.34,908419,230,230
gRPC,992.641,950293,235,235
gRPC,982.276,991462,240,240
gRPC,1123.84,1034135,245,245
gRPC,1170.797,1076606,250,250
